City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
440,Shimoda,JP,34.6667,138.95,37.11,64,100,14.72,overcast clouds
441,Chimbote,PE,-9.0853,-78.5783,74.21,70,76,9.08,broken clouds
442,Klyuchi,RU,52.2667,79.1667,11.41,77,47,16.78,scattered clouds
443,Azare,NG,11.6765,10.1948,76.82,13,100,7.87,overcast clouds
444,Denizli,TR,37.8402,29.0698,48.51,68,20,5.17,few clouds
445,Deloraine,AU,-41.5333,146.6667,61.14,15,100,0.85,overcast clouds
446,Ekimchan,RU,53.0667,132.9667,-44.46,100,61,2.01,broken clouds
447,San Andres,CO,12.5847,-81.7006,84.22,70,40,18.41,scattered clouds
448,Zyryanskoye,RU,56.8306,86.6258,16.84,80,100,22.73,overcast clouds
449,Baykit,RU,61.67,96.37,1.76,99,100,3.47,light snow
450,Walvis Bay,NA,-22.9575,14.5053,62.1,82,11,9.69,few clouds
451,Saint-Georges,GD,12.0564,-61.7485,80.28,69,20,16.11,few clouds
452,Puerto Del Rosario,ES,28.5004,-13.8627,62.35,55,20,27.63,few clouds
453,Kisangani,CD,0.5167,25.2,70.68,88,100,2.84,overcast clouds
454,Samarai,PG,-10.6167,150.6667,82.94,74,78,15.95,broken clouds
455,Mokhsogollokh,RU,61.4681,128.9203,-60.07,100,64,2.37,broken clouds
456,Pontes E Lacerda,BR,-15.2261,-59.3353,75.83,93,100,2.21,overcast clouds
457,Saint Anthony,US,45.0205,-93.218,17.65,63,75,11.5,broken clouds
458,Mehamn,NO,71.0357,27.8492,31.91,93,100,23.02,light snow
459,Taunggyi,MM,20.7833,97.0333,49.66,54,0,1.41,clear sky
460,Kontagora,NG,10.3999,5.4695,81.09,14,0,2.26,clear sky
461,Karratha,AU,-20.7377,116.8463,85.8,60,16,6.15,few clouds
462,Gravdal,NO,68.1214,13.5031,35.49,69,100,6.91,light shower snow
463,Geraldton,AU,-28.7667,114.6,70.21,78,40,19.57,light rain
464,Marzuq,YE,14.4,46.4667,59.59,79,0,5.35,clear sky
465,El Playon,CO,7.4713,-73.2031,82.83,57,67,1.97,broken clouds
466,Ust-Kuyga,RU,70.0167,135.6,-46.73,99,98,3.65,overcast clouds
467,Hun,LY,29.1268,15.9477,53.76,48,1,10.02,clear sky
468,Medicine Hat,CA,50.0501,-110.6683,42.73,63,83,4.0,broken clouds
469,Galveston,US,29.3669,-94.9669,60.1,48,17,1.99,few clouds
470,Mvangue,CM,2.9667,11.5167,67.6,96,27,3.29,scattered clouds
471,Salalah,OM,17.0151,54.0924,71.78,71,50,6.8,scattered clouds
472,Tabou,CI,4.423,-7.3528,78.94,88,16,7.38,few clouds
473,Boqueirao,BR,-7.5,-36.1333,80.04,53,37,15.66,scattered clouds
474,Auki,SB,-8.7676,160.7034,81.68,77,71,1.72,broken clouds
475,Paamiut,GL,61.994,-49.6678,17.47,69,100,5.19,overcast clouds
476,Belaya Gora,RU,68.5333,146.4167,-45.89,100,57,2.71,broken clouds
477,Jatai,BR,-17.8814,-51.7144,73.94,83,95,2.3,moderate rain
478,Calvinia,ZA,-31.4707,19.776,68.32,32,0,1.41,clear sky
479,Hofn,IS,64.2539,-15.2082,45.3,97,100,34.92,overcast clouds
480,Susuman,RU,62.7833,148.1667,-34.08,99,82,4.25,broken clouds
481,Rockland,US,41.1668,-74.0496,42.94,61,74,4.0,broken clouds
482,Mocuba,MZ,-16.8392,36.9856,71.44,97,95,4.83,overcast clouds
483,Vitina,BA,43.2375,17.4839,38.77,73,100,5.79,overcast clouds
484,Ambulu,ID,-8.345,113.6058,75.47,90,100,3.0,overcast clouds
485,Bouna,CI,9.2667,-3.0,81.36,21,3,3.22,clear sky
486,Alice Springs,AU,-23.7,133.8833,88.21,40,40,3.44,scattered clouds
487,Meadow Lake,US,34.8014,-106.5436,40.06,23,0,7.81,clear sky
488,Mazatlan,MX,23.2167,-106.4167,74.91,73,43,5.99,scattered clouds
489,Laguna,US,38.421,-121.4238,65.01,53,0,1.01,clear sky
490,Doha,QA,25.2867,51.5333,64.29,78,24,18.72,light rain
491,Tilichiki,RU,60.4667,166.1,-12.71,85,100,8.66,overcast clouds
492,Mount Isa,AU,-20.7333,139.5,80.37,74,87,8.05,overcast clouds
493,Muros,ES,42.7762,-9.0603,51.1,79,53,15.01,broken clouds
494,Umm Lajj,SA,25.0213,37.2685,70.81,63,1,9.35,clear sky
495,Songjianghe,CN,42.1859,127.479,-9.94,98,30,2.68,scattered clouds
496,Vila Velha,BR,-20.3297,-40.2925,76.95,91,100,2.44,overcast clouds
497,Lima,PE,-12.0432,-77.0282,75.45,69,0,9.22,clear sky
498,Opuwo,NA,-18.0607,13.84,71.04,67,83,0.65,light rain
499,Swellendam,ZA,-34.0226,20.4417,65.84,80,7,4.81,clear sky
500,Zonguldak,TR,41.25,31.8333,41.14,63,81,6.93,broken clouds
501,Hinganghat,IN,20.5667,78.8333,70.3,36,1,3.27,clear sky
502,Suamico,US,44.6319,-88.0393,27.37,73,100,4.61,overcast clouds
503,Xining,CN,36.6167,101.7667,7.93,56,0,0.92,clear sky
504,Chernyshevskiy,RU,63.0128,112.4714,-23.48,99,100,3.29,overcast clouds
505,Fare,PF,-16.7,-151.0167,81.32,76,8,18.5,light rain
506,Praya,CV,14.9215,-23.5087,70.34,73,0,10.36,clear sky
507,Chara,RU,56.9064,118.2631,-21.69,87,89,1.36,overcast clouds
508,San Felipe,VE,10.3399,-68.7425,75.09,72,70,7.81,broken clouds
509,Birjand,IR,32.8663,59.2211,32.34,55,100,5.46,overcast clouds
510,Kieta,PG,-6.2167,155.6333,82.35,69,42,2.35,scattered clouds
511,Taoudenni,ML,22.6783,-3.9836,60.15,19,52,14.47,broken clouds
512,Erdemli,TR,36.605,34.3084,55.35,53,41,7.18,scattered clouds
513,Rawlins,US,41.7911,-107.2387,21.34,79,100,37.98,overcast clouds
514,Aykhal,RU,66.0,111.5,-26.7,99,100,7.49,overcast clouds
515,Amahai,ID,-3.3333,128.9167,78.01,81,89,3.2,overcast clouds
516,Consuegra,ES,39.4625,-3.608,35.31,71,83,7.27,broken clouds
517,Bandarbeyla,SO,9.4942,50.8122,75.2,66,43,12.88,scattered clouds
518,Oksfjord,NO,70.2396,22.3479,33.98,90,100,20.11,snow
519,Vanavara,RU,60.34,102.2797,-7.65,100,96,3.98,overcast clouds
520,Fredericksburg,US,38.3032,-77.4605,48.61,47,100,14.97,overcast clouds
521,Emerald,AU,-23.5333,148.1667,76.33,87,77,10.45,broken clouds
522,Zhanaozen,KZ,43.3,52.8,25.66,51,0,7.65,clear sky
523,Tari,NG,12.4086,4.4914,81.07,12,0,9.33,clear sky
524,Narwar,IN,25.65,77.9,54.12,74,2,5.93,clear sky
525,Zhaozhou,CN,45.6833,125.3167,-15.03,96,56,2.17,broken clouds
526,Henties Bay,NA,-22.116,14.2845,64.13,84,10,7.14,clear sky
527,Bonavista,CA,48.6499,-53.1147,32.09,88,100,30.04,overcast clouds
528,San Juan,AR,-31.5375,-68.5364,96.1,24,1,14.5,clear sky
529,Porto Novo,BJ,6.4965,2.6036,81.25,81,99,8.23,overcast clouds
530,Takoradi,GH,4.8845,-1.7554,80.15,84,55,8.55,broken clouds
531,Christchurch,NZ,-43.5333,172.6333,83.32,45,9,4.61,clear sky
532,Anadyr,RU,64.75,177.4833,-1.7,65,40,20.13,scattered clouds
533,Inhambane,MZ,-23.865,35.3833,76.86,80,76,11.14,broken clouds
534,Nago,JP,26.5881,127.9761,61.23,81,100,23.71,overcast clouds
535,Kemin,KG,42.7846,75.6892,19.6,60,0,5.48,clear sky
536,Krasnoborsk,RU,61.5598,45.934,24.13,97,100,1.63,overcast clouds
537,Nipawin,CA,53.3668,-104.0009,17.64,86,100,21.85,overcast clouds
538,Fereydun Kenar,IR,36.6864,52.5225,43.66,65,15,4.63,few clouds
539,Moussoro,TD,13.6408,16.4901,77.02,9,74,8.39,broken clouds
540,Kirensk,RU,57.7853,108.1119,11.66,93,100,8.9,overcast clouds
541,Dalvik,IS,65.9702,-18.5286,41.47,93,100,9.13,overcast clouds
542,Tecoanapa,MX,16.5167,-98.75,84.67,48,0,10.83,clear sky
543,Vanimo,PG,-2.6741,141.3028,77.7,88,95,4.99,overcast clouds
544,Treinta Y Tres,UY,-33.2333,-54.3833,88.21,32,29,15.99,scattered clouds
545,Vestmannaeyjar,IS,63.4427,-20.2734,43.72,75,100,30.94,overcast clouds
546,Bolobo,CD,-2.1667,16.2333,76.5,65,35,3.18,scattered clouds
547,Te Anau,NZ,-45.4167,167.7167,58.98,93,100,2.48,light rain
548,Polyanka,UA,50.2584,27.6881,29.95,96,100,5.3,overcast clouds
549,Pincher Creek,CA,49.4833,-113.952,37.99,66,51,14.63,broken clouds
550,Leo,BF,11.1,-2.1,80.02,14,1,6.4,clear sky
551,Beisfjord,NO,68.3751,17.5988,33.85,90,100,7.49,light snow
552,Irece,BR,-11.3042,-41.8558,77.32,53,100,8.81,overcast clouds
553,Lampa,CL,-33.2833,-70.9,81.95,28,0,18.41,clear sky
554,Phalombe,MW,-15.8064,35.6507,65.77,93,100,0.81,overcast clouds
555,San Quintin,MX,30.4833,-115.95,62.65,46,65,8.5,broken clouds
556,Dargaville,NZ,-35.9333,173.8833,68.09,96,100,8.81,light rain
557,Chechat,IN,24.7667,75.8833,53.29,61,3,7.63,clear sky
558,Grand-Santi,GF,4.25,-54.3833,74.3,82,100,2.89,overcast clouds
559,Matucana,PE,-11.85,-76.4,59.88,95,100,7.31,overcast clouds
560,Mangan,IN,27.5167,88.5333,56.19,57,100,5.12,overcast clouds
561,Havoysund,NO,70.9963,24.6622,32.23,69,100,26.55,snow
562,Ornskoldsvik,SE,63.2909,18.7153,27.55,80,0,11.5,clear sky
563,Tarakan,ID,3.3,117.6333,76.24,87,100,2.01,overcast clouds
564,Saquarema,BR,-22.92,-42.5103,78.84,86,10,7.92,clear sky
565,Katiola,CI,8.1333,-5.1,83.52,32,24,3.76,few clouds
566,Saint-Francois,FR,46.4154,3.9054,29.64,82,100,9.22,overcast clouds
567,Pascagoula,US,30.3658,-88.5561,58.32,42,0,5.75,clear sky
568,Rochegda,RU,62.8,43.25,7.5,100,95,1.72,overcast clouds
569,Bossier City,US,32.516,-93.7321,54.68,38,0,9.22,clear sky
570,Bafoulabe,ML,13.8065,-10.8321,86.68,15,8,6.4,clear sky
571,Eyl,SO,7.9803,49.8164,73.6,70,33,13.8,scattered clouds
572,Margate,GB,51.3813,1.3862,43.9,83,68,8.99,broken clouds
573,Dumas,US,35.8656,-101.9732,41.54,33,0,17.27,clear sky
574,Palm Coast,US,29.585,-81.2078,64.99,46,0,6.91,clear sky
575,Cagsiay,PH,14.2167,121.75,75.47,87,100,15.05,overcast clouds
576,Salinas,US,36.6777,-121.6555,70.63,35,0,6.91,clear sky
577,Madang,PG,-5.2246,145.7966,75.24,93,99,2.75,overcast clouds
578,Vavatenina,MG,-17.4667,49.2,72.0,88,99,3.71,overcast clouds
579,Jiuquan,CN,39.7432,98.5174,4.19,73,0,2.68,clear sky
580,Wagrowiec,PL,52.8084,17.1996,34.14,90,100,3.87,overcast clouds
581,Ojinaga,MX,29.5667,-104.4167,56.57,37,40,13.8,scattered clouds
582,Tortoli,IT,39.9256,9.6572,44.91,80,97,7.07,overcast clouds
583,Pena,PH,12.089,123.9384,73.94,93,100,7.2,light rain
584,Palmerston,AU,-12.486,130.9833,76.98,94,0,4.61,clear sky
585,Riyadh,SA,24.6877,46.7219,51.94,76,57,7.96,broken clouds
586,Iwanai,JP,42.9744,140.5089,20.97,82,100,5.06,light snow
587,Kaduna,NG,10.5222,7.4383,75.25,15,95,5.99,overcast clouds
588,Price,US,39.5994,-110.8107,33.12,54,0,3.44,clear sky
589,Lopsmarka,NO,67.3134,14.4493,35.8,80,40,23.02,light snow
590,Melenci,RS,45.5139,20.3172,33.33,94,100,8.79,light snow
591,Whitehorse,CA,60.7161,-135.0538,32.31,81,34,5.01,scattered clouds
592,Porto Velho,BR,-8.7619,-63.9039,77.05,88,40,0.0,scattered clouds
593,Luanda,AO,-8.8368,13.2343,80.6,78,75,8.05,broken clouds
594,Tyup,KG,42.7276,78.3648,14.36,77,16,4.68,few clouds
595,Chodavaram,IN,17.8333,82.95,62.44,67,46,3.18,scattered clouds
596,Port-Gentil,GA,-0.7193,8.7815,75.16,100,20,0.0,moderate rain
597,Sovetskiy,RU,61.3614,63.5842,25.83,87,43,9.82,scattered clouds
598,Taksimo,RU,56.3444,114.8794,-14.48,99,100,0.94,overcast clouds
599,El Alto,PE,-4.2714,-81.2147,82.06,67,20,11.16,few clouds
600,Bathsheba,BB,13.2167,-59.5167,77.61,61,20,13.8,few clouds
601,Apastovo,RU,55.2029,48.5109,21.87,80,98,12.75,overcast clouds
602,Ossora,RU,59.2353,163.0719,9.27,93,100,18.57,light snow
603,Mersing,MY,2.4312,103.8405,76.19,90,100,10.11,light rain
604,Machico,PT,32.7,-16.7667,59.72,61,20,13.8,few clouds
605,Tyulyachi,RU,55.8913,50.2399,26.24,96,100,14.0,light snow
606,Gunjur,GM,13.2019,-16.7339,72.39,78,59,16.93,broken clouds
607,Lixourion,GR,38.2019,20.4314,51.64,74,90,8.48,overcast clouds
608,Flagstaff,US,35.1981,-111.6513,35.53,39,0,12.66,clear sky
609,Tacuati,PY,-23.45,-56.5833,85.75,56,93,2.59,overcast clouds
610,Nurota,UZ,40.5614,65.6886,25.02,78,36,3.04,scattered clouds
611,Teahupoo,PF,-17.8333,-149.2667,71.56,81,26,20.98,light rain
612,Glace Bay,CA,46.1969,-59.957,51.78,83,100,25.01,light rain
613,Worthington,US,40.0931,-83.018,32.05,83,100,17.27,overcast clouds
614,Spring Valley,US,36.108,-115.245,57.29,24,0,12.66,clear sky
615,Teodoro Sampaio,BR,-22.5325,-52.1675,80.69,57,39,6.17,scattered clouds
616,Andenes,NO,69.3143,16.1194,35.58,80,75,28.77,light rain
617,Nantucket,US,41.2835,-70.0995,44.74,69,75,25.32,broken clouds
618,Bambous Virieux,MU,-20.3428,57.7575,78.22,86,98,3.96,light rain
619,Coihaique,CL,-45.5752,-72.0662,55.35,58,75,6.91,light intensity shower rain
620,Kargopol,RU,61.5071,38.9456,31.14,98,100,5.17,light snow
621,Sechura,PE,-5.5569,-80.8222,78.67,62,49,15.32,scattered clouds
622,Batuan,PH,9.7808,124.1484,71.28,97,100,4.81,overcast clouds
623,Douentza,ML,14.9951,-2.9517,77.79,14,52,5.82,broken clouds
624,Tazovskiy,RU,67.4667,78.7,10.56,95,100,10.27,light snow
625,Ponnani,IN,10.767,75.9252,74.52,85,10,5.48,clear sky
626,Tambura,SS,5.6,27.4667,77.63,26,51,1.74,broken clouds
627,Lasa,IT,46.6166,10.7002,27.01,61,73,6.24,broken clouds
628,Dzerzhinsk,RU,56.2389,43.4631,24.62,93,100,13.42,overcast clouds
629,Bimbo,CF,4.2567,18.4158,78.58,39,32,2.86,scattered clouds
630,Garut,ID,-7.2024,107.8878,69.93,92,100,0.89,overcast clouds
631,Orapa,BW,-21.2833,25.3667,75.38,36,8,12.77,clear sky
632,Lhokseumawe,ID,5.1801,97.1507,75.31,88,100,4.38,overcast clouds
633,Santiago,CL,-33.4569,-70.6483,84.16,31,0,18.41,clear sky
634,Ustka,PL,54.5805,16.8619,32.65,97,100,5.64,overcast clouds
635,Nizhniy Kuranakh,RU,58.8353,125.4869,-49.56,100,36,1.66,scattered clouds
636,Bonito,BR,-21.1211,-56.4819,82.45,64,73,4.56,broken clouds
637,Baruun-Urt,MN,46.6806,113.2792,-11.29,87,3,7.49,clear sky
638,Kaspiysk,RU,42.8816,47.6392,32.23,92,100,2.24,overcast clouds
639,Kainantu,PG,-6.2887,145.8655,63.61,93,100,1.79,overcast clouds
640,Bambanglipuro,ID,-7.95,110.2833,75.49,93,100,6.08,overcast clouds
641,Mangai,CD,-4.05,19.5333,72.19,78,93,0.63,overcast clouds
642,Prainha,BR,-1.8,-53.48,79.63,75,97,2.35,overcast clouds
